acl3qb,acl3qb,9,8
acl3qb,ahg3de,-5,-5
acl3qb,Ahr7ee,14,10
acl3qb,ahy9ng,10,9
acl3qb,aru5mf,14,5
acl3qb,bcp7cc_negotiator,-5,-5
acl3qb,bmh5wx,14,5
acl3qb,cmd3az,14,5
acl3qb,ctr3sf,8,10
acl3qb,drs5ma,-5,-5
acl3qb,dtw8hn,10,0
acl3qb,emr8ye,15,0
acl3qb,erc7as,10,9
acl3qb,fc5fz,8,10
acl3qb,gkr6sy,10,9
acl3qb,ho2es,15,0
acl3qb,jab7qb,10,9
acl3qb,jes3cu,10,9
acl3qb,jlc2xf,10,9
acl3qb,jmh2bj,10,9
acl3qb,jr3fs,11,7
acl3qb,jw6dz,10,9
acl3qb,kch8qx,10,9
acl3qb,LilBullystin,13,1
acl3qb,mah3xy,10,9
acl3qb,mc4xf,10,9
acl3qb,mjs5gw,10,9
acl3qb,nab8kd,-5,-5
acl3qb,phl2ds,10,9
acl3qb,sc2pu,8,10
acl3qb,slm2eh,10,9
acl3qb,stn4at,8,10
acl3qb,tml3cf,-5,-5
acl3qb,yn9sa,10,3
acl3qb,yx4qu,10,9
acl3qb,zls2cn,10,9
ahg3de,acl3qb,8,10
ahg3de,ahg3de,10,9
ahg3de,Ahr7ee,10,9
ahg3de,ahy9ng,8,10
ahg3de,aru5mf,14,5
ahg3de,bcp7cc_negotiator,8,10
ahg3de,bmh5wx,12,6
ahg3de,ctr3sf,12,6
ahg3de,drs5ma,8,10
ahg3de,dtw8hn,10,6
ahg3de,emr8ye,14,5
ahg3de,erc7as,8,4
ahg3de,fc5fz,9,8
ahg3de,gkr6sy,9,8
ahg3de,ho2es,11,7
ahg3de,jab7qb,10,9
ahg3de,jes3cu,10,9
ahg3de,jlc2xf,8,10
ahg3de,jmh2bj,11,7
ahg3de,jw6dz,8,10
ahg3de,kch8qx,12,6
ahg3de,LilBullystin,8,10
ahg3de,mah3xy,8,10
ahg3de,mc4xf,10,9
ahg3de,mjs5gw,10,9
ahg3de,nab8kd,10,9
ahg3de,phl2ds,12,6
ahg3de,sc2pu,9,8
ahg3de,slm2eh,2,14
ahg3de,stn4at,8,10
ahg3de,tml3cf,7,11
ahg3de,yx4qu,9,8
ahg3de,zls2cn,10,9
Ahr7ee,acl3qb,10,12
Ahr7ee,ahg3de,10,12
Ahr7ee,Ahr7ee,8,10
Ahr7ee,ahy9ng,8,10
Ahr7ee,aru5mf,12,6
Ahr7ee,bcp7cc_negotiator,10,12
Ahr7ee,bmh5wx,10,12
Ahr7ee,cmd3az,5,12
Ahr7ee,ctr3sf,12,6
Ahr7ee,drs5ma,10,9
Ahr7ee,dtw8hn,7,9
Ahr7ee,emr8ye,14,5
Ahr7ee,erc7as,5,12
Ahr7ee,fc5fz,10,12
Ahr7ee,gkr6sy,8,10
Ahr7ee,ho2es,6,10
Ahr7ee,jab7qb,10,9
Ahr7ee,jes3cu,5,12
Ahr7ee,jlc2xf,8,10
Ahr7ee,jmh2bj,9,8
Ahr7ee,jr3fs,9,8
Ahr7ee,jw6dz,8,10
Ahr7ee,kch8qx,12,6
Ahr7ee,LilBullystin,10,12
Ahr7ee,mah3xy,8,10
Ahr7ee,mc4xf,7,11
Ahr7ee,mjs5gw,5,12
Ahr7ee,nab8kd,10,9
Ahr7ee,phl2ds,12,6
Ahr7ee,sc2pu,8,10
Ahr7ee,slm2eh,2,14
Ahr7ee,stn4at,5,12
Ahr7ee,tml3cf,5,12
Ahr7ee,yn9sa,8,10
Ahr7ee,yx4qu,10,12
Ahr7ee,zls2cn,8,10
ahy9ng,acl3qb,-5,-5
ahy9ng,ahg3de,5,9
ahy9ng,Ahr7ee,5,9
ahy9ng,ahy9ng,5,9
ahy9ng,aru5mf,14,5
ahy9ng,bcp7cc_negotiator,9,8
ahy9ng,bmh5wx,14,5
ahy9ng,cmd3az,14,5
ahy9ng,ctr3sf,9,8
ahy9ng,drs5ma,7,10
ahy9ng,dtw8hn,5,8
ahy9ng,emr8ye,14,5
ahy9ng,erc7as,14,5
ahy9ng,fc5fz,-5,-5
ahy9ng,gkr6sy,9,8
ahy9ng,ho2es,12,6
ahy9ng,jab7qb,5,9
ahy9ng,jes3cu,7,10
ahy9ng,jlc2xf,5,9
ahy9ng,jmh2bj,4,4
ahy9ng,jr3fs,14,5
ahy9ng,jw6dz,9,8
ahy9ng,kch8qx,14,5
ahy9ng,LilBullystin,14,5
ahy9ng,mah3xy,5,9
ahy9ng,mc4xf,6,8
ahy9ng,mjs5gw,5,9
ahy9ng,nab8kd,5,9
ahy9ng,phl2ds,5,9
ahy9ng,sc2pu,6,8
ahy9ng,slm2eh,-5,-5
ahy9ng,stn4at,7,10
ahy9ng,tml3cf,-5,-5
ahy9ng,yn9sa,9,8
ahy9ng,yx4qu,7,10
ahy9ng,zls2cn,5,9
aru5mf,acl3qb,5,12
aru5mf,ahg3de,5,12
aru5mf,Ahr7ee,10,9
aru5mf,ahy9ng,10,9
aru5mf,aru5mf,14,5
aru5mf,bcp7cc_negotiator,5,12
aru5mf,bmh5wx,5,12
aru5mf,cmd3az,5,12
aru5mf,ctr3sf,10,9
aru5mf,drs5ma,5,12
aru5mf,dtw8hn,7,9
aru5mf,emr8ye,14,5
aru5mf,erc7as,7,11
aru5mf,fc5fz,5,12
aru5mf,gkr6sy,8,10
aru5mf,ho2es,5,12
aru5mf,jab7qb,10,9
aru5mf,jes3cu,5,12
aru5mf,jlc2xf,10,9
aru5mf,jmh2bj,11,4
aru5mf,jr3fs,8,10
aru5mf,jw6dz,5,12
aru5mf,kch8qx,14,5
aru5mf,LilBullystin,7,11
aru5mf,mah3xy,10,9
aru5mf,mc4xf,10,9
aru5mf,mjs5gw,5,12
aru5mf,nab8kd,5,12
aru5mf,phl2ds,10,9
aru5mf,sc2pu,5,12
aru5mf,slm2eh,5,12
aru5mf,stn4at,10,9
aru5mf,tml3cf,5,12
aru5mf,yn9sa,7,11
aru5mf,yx4qu,9,8
aru5mf,zls2cn,10,9
bcp7cc_negotiator,acl3qb,3,9
bcp7cc_negotiator,ahg3de,8,10
bcp7cc_negotiator,Ahr7ee,14,10
bcp7cc_negotiator,ahy9ng,8,10
bcp7cc_negotiator,aru5mf,14,5
bcp7cc_negotiator,bcp7cc_negotiator,5,12
bcp7cc_negotiator,bmh5wx,12,6
bcp7cc_negotiator,cmd3az,12,6
bcp7cc_negotiator,ctr3sf,5,12
bcp7cc_negotiator,drs5ma,11,7
bcp7cc_negotiator,dtw8hn,10,1
bcp7cc_negotiator,emr8ye,15,0
bcp7cc_negotiator,erc7as,10,9
bcp7cc_negotiator,fc5fz,8,10
bcp7cc_negotiator,gkr6sy,10,9
bcp7cc_negotiator,ho2es,15,0
bcp7cc_negotiator,jab7qb,10,9
bcp7cc_negotiator,jes3cu,8,10
bcp7cc_negotiator,jlc2xf,10,9
bcp7cc_negotiator,jmh2bj,11,4
bcp7cc_negotiator,jr3fs,8,10
